,Title,Artist,Date,track_id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,explicit,billboard_hot_100,Popularity,Release_Year
1587,Baguettes In The Face," Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",21-09-2019,2zjGJ0dChMR0KxBZS15aqo,0.883,0.525,2,-8.054,0,0.0633,0.189,0,0.0971,0.312,99.978,174100,4,TRUE,1,73,2019
1588,Go Loko," YG, Tyga & Jon Z",21-09-2019,1kK6DwzyXJSp58u5HYWwuD,0.88,0.67,2,-5.177,1,0.0468,0.325,4.17E-06,0.0662,0.131,101.008,299227,4,TRUE,1,70,2019
1589,Doin' Time, Lana Del Rey,21-09-2019,0Oqc0kKFsQ6MhFOLBNZIGX,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,202193,4,TRUE,1,74,2019
1590,7 Rings, Ariana Grande,14-09-2019,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627,4,TRUE,1,87,2019
1591,Whiskey Glasses, Morgan Wallen,14-09-2019,6foY66mWZN0pSRjZ408c00,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84E-06,0.115,0.707,149.959,234347,4,FALSE,1,81,2018
1592,God's Country, Blake Shelton,14-09-2019,1dyxS3YzBbL0t8rEVwVQ1K,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39E-06,0.118,0.217,139.984,205107,4,FALSE,1,73,2019
1593,Shotta Flow, NLE Choppa,14-09-2019,67XyC1GdSkKb9sbRRkUDXS,0.894,0.511,2,-4.768,1,0.42,0.0251,0,0.14,0.568,120.08,176632,4,TRUE,1,74,2019
1594,ME!, Taylor Swift Featuring Brendon Urie,14-09-2019,3z6XUommYDWPHeFhmhhT6j,0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72E-06,0.083,0.494,115.915,225960,4,FALSE,1,81,2021
1595,Babushka Boi, A$AP Rocky,14-09-2019,643PW82aBMUa1FiWi5VQY7,0.897,0.743,10,-5.446,0,0.222,0.304,4.44E-05,0.137,0.905,134.979,187105,4,TRUE,1,71,2019
1596,Cruel Summer, Taylor Swift,14-09-2019,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06E-05,0.105,0.564,169.994,178427,4,FALSE,1,79,2019
1597,I Forgot That You Existed, Taylor Swift,14-09-2019,43rA71bccXFGD4C8GOpIlN,0.664,0.316,5,-10.345,1,0.519,0.298,2.03E-06,0.0812,0.541,92.875,170640,4,FALSE,1,74,2019
1598,Call You Mine, The Chainsmokers & Bebe Rexha,14-09-2019,5EdYlCWou17k0N1PADLKfO,0.577,0.844,7,-3.364,1,0.0406,0.004,6.59E-06,0.499,0.283,115.068,183653,4,FALSE,1,53,2019
1599,Out Of Luck, Lil Tecca,14-09-2019,1ipyiYqvds0wcaFDTW6N4X,0.563,0.624,8,-8.271,1,0.287,0.0439,0,0.111,0.337,152.068,163267,4,TRUE,1,64,2019
1600,Shots, Lil Tecca,14-09-2019,6eSU1exzDvBEXmBRxspeh5,0.829,0.582,7,-5.721,0,0.0415,0.525,0,0.0759,0.51,108.028,109373,4,TRUE,1,66,2019
1601,Juice, Lizzo,14-09-2019,0k664IuFwVP557Gnx7RhIl,0.767,0.889,7,-2.988,1,0.0963,0.00611,0,0.402,0.843,119.93,195145,4,TRUE,1,77,2019
1602,Bezerk, Big Sean Featuring A$AP Ferg & Hit-Boy,14-09-2019,2B9wgj9XzbJZLty03PRbVo,0.684,0.687,2,-4.673,1,0.2,0.0164,0,0.253,0.265,184.026,151067,4,TRUE,1,65,2019
1603,God Only Knows, for KING & COUNTRY,14-09-2019,4ElNxglBjcrASiGn58t9Jm,0.597,0.417,2,-7.952,1,0.0502,0.395,8.35E-06,0.128,0.263,143.839,229760,4,FALSE,1,66,2018
1604,Love Me, Lil Tecca,14-09-2019,4e0FYxSROat25pH16zMTZI,0.719,0.538,11,-6.897,0,0.28,0.632,0,0.135,0.803,204.132,117013,4,TRUE,1,79,2019
1605,Soltera," Lunay, Daddy Yankee & Bad Bunny",14-09-2019,1c0hsvHLELX6y8qymnpLKL,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.799,92.01,266087,4,FALSE,1,77,2019
1606,The Archer, Taylor Swift,07-09-2019,3pHkh7d0lzM2AldUtz2x37,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240,4,FALSE,1,72,2019
1607,Paper Rings, Taylor Swift,07-09-2019,4y5bvROuBDPr5fuwXbIBZR,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36E-05,0.0742,0.865,103.979,222400,4,FALSE,1,80,2019
1608,Miss Americana & The Heartbreak Prince, Taylor Swift,07-09-2019,214nt20w5wOxJnY462klLw,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,234147,4,FALSE,1,71,2019
1609,I Think He Knows, Taylor Swift,07-09-2019,2YWtcWi3a83pdEg3Gif4Pd,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,173387,4,FALSE,1,72,2019
1610,Cornelia Street, Taylor Swift,07-09-2019,12M5uqx0ZuwkpLp5rJim1a,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,287267,4,FALSE,1,73,2019
1611,London Boy, Taylor Swift,07-09-2019,1LLXZFeAHK9R4xUramtUKw,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,190240,4,FALSE,1,74,2019
1612,Soon You'll Get Better, Taylor Swift Featuring Dixie Chicks,07-09-2019,4AYtqFyFbX0Xkc2wtcygTr,0.433,0.182,0,-12.566,1,0.0641,0.907,0,0.123,0.421,207.476,201587,4,FALSE,1,67,2019
1613,Death By A Thousand Cuts, Taylor Swift,07-09-2019,2dgFqt3w9xIQRjhPtwNk3D,0.712,0.732,4,-6.754,1,0.0629,0.454,0,0.319,0.313,94.071,198533,4,FALSE,1,73,2019
1614,Afterglow, Taylor Swift,07-09-2019,1SymEzIT3H8UZfibCs3TYi,0.756,0.449,9,-8.746,1,0.0344,0.13,0,0.114,0.399,111.011,223293,4,FALSE,1,75,2019
1615,False God, Taylor Swift,07-09-2019,5hQSXkFgbxjZo9uCwd11so,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,200307,4,FALSE,1,70,2019
1616,Daylight, Taylor Swift,07-09-2019,1fzAuUVbzlhZ1lJAx9PtY6,0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,293453,4,FALSE,1,72,2019
1617,Raised On Country, Chris Young,07-09-2019,6voi5xnLs9JKmWG2oLmgDU,0.572,0.794,2,-3.224,1,0.0455,0.395,0,0.23,0.79,148.095,175595,4,FALSE,1,59,2019
1618,It's Nice To Have A Friend, Taylor Swift,07-09-2019,1SmiQ65iSAbPto6gPFlBYm,0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,150440,4,FALSE,1,67,2019
1619,Never Really Over, Katy Perry,07-09-2019,5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,223523,4,FALSE,1,75,2019
1620,EARFQUAKE," Tyler, The Creator",07-09-2019,5hVghJ4KaYES3BFUATCYn0,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98E-06,0.795,0.413,79.635,190067,4,TRUE,1,83,2019
1621,Clout, Offset Featuring Cardi B,31-08-2019,59ywHNwwchG4nZJMLyxSzd,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24E-06,0.122,0.424,140.022,205803,4,TRUE,1,71,2019
1622,What's The Move, Young Thug Featuring Lil Uzi Vert,31-08-2019,3pTScODwk9tggZzmuH6xDY,0.961,0.438,7,-7.877,1,0.31,0.0431,0,0.139,0.412,124.018,251080,4,TRUE,1,59,2019
1623,Just How It Is, Young Thug,31-08-2019,5KYhIFNTp4VQUqlsbLWTTu,0.611,0.539,7,-10.617,1,0.411,0.0485,0,0.127,0.627,82.766,207133,4,TRUE,1,55,2019
1624,Surf, Young Thug Featuring Gunna,31-08-2019,6igOR5QCn09zAVF2ikZjsV,0.93,0.561,0,-8.053,1,0.25,0.101,0,0.0992,0.596,140.987,184093,4,TRUE,1,60,2019
1625,Sup Mate, Young Thug Featuring Future,31-08-2019,0zNHMc1cGKe4MO5rtGtKRh,0.874,0.552,1,-7.951,1,0.271,0.000786,0.286,0.144,0.521,147.043,238027,4,TRUE,1,55,2019
1626,Won't Be Late, Swae Lee Featuring Drake,31-08-2019,2sqsNXfN0HtgDEgaHXiUTa,0.915,0.588,7,-6.302,0,0.0677,0.0824,0.000169,0.104,0.329,123.936,218710,4,FALSE,1,68,2019
1627,Light It Up, Young Thug,31-08-2019,41mzryVlFLlz6b1BCtJAjx,0.953,0.515,10,-8.546,1,0.0846,0.00389,0,0.11,0.351,138.039,209253,4,TRUE,1,51,2019
1628,Lil Baby, Young Thug,31-08-2019,1MGWgLxUXDodD8Tw8TFppN,0.848,0.455,1,-9.568,1,0.0746,0.00252,0,0.112,0.66,163.004,201893,4,TRUE,1,52,2019
1629,Mac 10, Trippie Redd Featuring Lil Baby & Lil Duke,31-08-2019,2KEux6D75xjj6fdabXpeAu,0.787,0.619,9,-7.32,1,0.17,0.181,0,0.323,0.824,124.09,127843,4,TRUE,1,56,2019
1630,Some Of It, Eric Church,31-08-2019,3d1qN7AHge6BXuVPutcpI5,0.56,0.736,0,-7.306,1,0.0446,0.341,9.81E-06,0.155,0.824,79.843,195147,4,FALSE,1,63,2018
1631,Ecstasy, Young Thug Featuring Machine Gun Kelly,31-08-2019,1yBbxDXEfr8boXM1ubvBHi,0.826,0.691,1,-6.557,1,0.129,0.000541,0,0.157,0.603,162.966,178240,4,TRUE,1,51,2019
1632,Uno, Ambjaay,31-08-2019,3AEgic4yp82NxMWUjHtxnO,0.978,0.477,8,-8.159,1,0.155,0.000143,0,0.133,0.196,110.002,109091,4,TRUE,1,60,2019
1633,Daddy, Blueface & Rich The Kid,31-08-2019,4hanO6Du5J7QEguNHYZHmw,0.869,0.59,11,-8.214,1,0.257,0.07,0,0.236,0.479,107.934,151147,4,TRUE,1,67,2019
1634,Takeaway, The Chainsmokers & ILLENIUM Featuring Lennon Stella,31-08-2019,3g0mEQx3NTanacLseoP0Gw,0.528,0.511,3,-8.144,1,0.0324,0.126,0,0.101,0.351,100.1,209880,4,FALSE,1,78,2019
1635,Happier, Marshmello & Bastille,24-08-2019,6bjFguGorb2zbu16NOJZaN,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,214290,4,FALSE,1,4,2022
1636,Sweet But Psycho, Ava Max,24-08-2019,7DnAm9FOTWE3cUvso43HhI,0.72,0.706,1,-4.719,1,0.0473,0.0684,0,0.166,0.62,133.002,187436,4,FALSE,1,83,2020
1637,Better, Khalid,24-08-2019,6zeeWid2sgw4lap2jV61PZ,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4,FALSE,1,79,2018
1638,Going Bad, Meek Mill Featuring Drake,24-08-2019,2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4,TRUE,1,81,2018
1639,Talk You Out Of It, Florida Georgia Line,24-08-2019,4qQwGRtGT7l6ckQtdPEFd4,0.651,0.708,4,-4.791,1,0.0376,0.582,0,0.0796,0.558,119.964,202920,4,FALSE,1,67,2019
1640,Gold Roses, Rick Ross Featuring Drake,24-08-2019,1rX5L6pyl3rVWb55D8Cprr,0.502,0.633,1,-5.8,1,0.419,0.00991,0,0.389,0.552,83.226,349600,4,TRUE,1,66,2019
1641,Just Us, DJ Khaled Featuring SZA,24-08-2019,0BnTBAGmr9FtYwkZrwKhwS,0.639,0.859,9,-2.758,0,0.147,0.135,0,0.129,0.566,93.132,221379,4,TRUE,1,65,2019
1642,Small Talk, Katy Perry,24-08-2019,4NmE2ytXI8S2svTRSmEdpO,0.846,0.631,5,-5.547,1,0.1,0.203,0,0.455,0.602,115.999,161963,4,FALSE,1,61,2019
1643,Night Falls," Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",24-08-2019,3doNvO8zrwzcM0PJrcn8Rb,0.72,0.87,3,-5.155,0,0.142,0.0682,0,0.144,0.802,160.039,188218,4,FALSE,1,64,2019
1644,Snake Skin, Trippie Redd,24-08-2019,1usK5eLBzpQTMwDt8SR2dr,0.669,0.557,8,-8.835,0,0.0498,0.0574,0,0.0662,0.553,144.043,186944,4,TRUE,1,61,2019
1645,24-Jul, Meek Mill Featuring Ella Mai,24-08-2019,6irE4Fbjbry3czv7mTxVSB,0.657,0.711,0,-5.355,1,0.374,0.0135,0,0.221,0.368,86.957,221522,4,TRUE,1,62,2018
1646,Love Ain't, Eli Young Band,24-08-2019,6uVzeU47Qzg0rrMneP5BNg,0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78E-06,0.0891,0.727,98.007,186119,4,FALSE,1,68,2018
1647,Sanguine Paradise, Lil Uzi Vert,24-08-2019,3XiNC94b4Tq1xwv70sQJGN,0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,243976,4,TRUE,1,76,2019
1648,Tap, NAV Featuring Meek Mill,24-08-2019,5rU6kDNXZLXIinFezpbWbO,0.901,0.676,2,-7.033,1,0.251,0.0646,0,0.0863,0.452,85.018,148278,4,TRUE,1,67,2019
1649,La La Land, Bryce Vine Featuring YG,24-08-2019,7taeV6Kz3xIgjx5QR0eG8p,0.726,0.512,11,-4.667,1,0.0361,0.289,0,0.234,0.52,97.965,157147,4,FALSE,1,65,2019
1650,Que Pretendes, J Balvin & Bad Bunny,24-08-2019,4v8fLB8CLjWzrk7pa1WhMN,0.639,0.791,10,-4.443,0,0.254,0.0275,0,0.362,0.933,92.603,222347,4,FALSE,1,0,2022
1651,Single Again, Big Sean,24-08-2019,7IP0lO9tHfNwBWZ9X6TJ84,0.635,0.677,10,-5.548,1,0.0909,0.161,0,0.154,0.253,94.95,213733,4,TRUE,1,62,2019
1652,Worth It, YK Osiris,17-08-2019,0PQoUlzP7ILdcrzpajHXc0,0.749,0.535,5,-4.054,0,0.0638,0.517,0,0.0942,0.459,124.008,189253,5,FALSE,1,71,2019
1653,Shallow, Lady Gaga & Bradley Cooper,17-08-2019,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4,FALSE,1,86,2018
1654,Trust Issues, Drake,17-08-2019,4Wjhj0WjkyECccfHVIgaTq,0.421,0.539,11,-5.456,0,0.274,0.779,0,0.111,0.523,89.177,281519,3,TRUE,1,71,2019
1655,How About Now, Drake,17-08-2019,5VPPgWCYdkkZ865ybcE0jm,0.514,0.391,8,-8.449,0,0.407,0.21,0,0.112,0.471,79.312,235566,5,FALSE,1,32,2019
1656,The Motion, Drake,17-08-2019,0Tacxc5lDJ8LwiO1pWNSl8,0.631,0.788,4,-7.142,0,0.102,0.371,0.000317,0.108,0.544,157.769,240957,4,TRUE,1,63,2019
1657,Dreams Money Can Buy, Drake,17-08-2019,1qyFlfPREPbRcS2BNszdYI,0.423,0.587,6,-6.635,1,0.529,0.765,0,0.114,0.33,180.331,253803,4,TRUE,1,58,2019
1658,Club Paradise, Drake,17-08-2019,6MR5IBSNfDmiwnrlQpVw4w,0.338,0.729,6,-6.419,0,0.102,0.758,3.24E-05,0.18,0.543,184.174,283816,4,TRUE,1,55,2019
1659,Antisocial, Ed Sheeran & Travis Scott,17-08-2019,1DhRbox3xkceP64k3JeYfW,0.716,0.823,5,-5.313,0,0.0495,0.132,0,0.361,0.91,151.957,161747,4,FALSE,1,67,2019
1660,Fear Inoculum, Tool,17-08-2019,39zWYYZStDgWi32sOU9AX4,0.31,0.584,7,-10.091,1,0.042,0.000827,0.512,0.0528,0.16,86.913,620101,4,FALSE,1,62,2019
1661,Days In The East, Drake,17-08-2019,4czcw3NVLY0of5hTD7OufN,0.733,0.361,1,-11.129,1,0.135,0.348,0.000285,0.0942,0.0361,94.902,353698,4,TRUE,1,56,2019
1662,Before I Let Go, Beyonce,17-08-2019,7LikBkHerFGZ58QHVOKp1t,0.71,0.842,6,-5.424,0,0.0944,0.0686,0,0.337,0.435,102.994,240777,4,FALSE,1,57,2019
1663,High Hopes, Panic! At The Disco,10-08-2019,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4,FALSE,1,84,2018
1664,Sicko Mode, Travis Scott,10-08-2019,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4,TRUE,1,85,2018
1665,Cross Me, Ed Sheeran Featuring Chance The Rapper & PnB Rock,10-08-2019,543bCW2ruMPmxUBWirQ3MR,0.746,0.787,4,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005,206187,4,TRUE,1,68,2019
1666,Leave Me Alone, NF,10-08-2019,3EtyEzMpfKSaoVhPunvbRV,0.722,0.741,1,-3.72,1,0.19,0.249,0,0.151,0.46,162.11,308652,4,FALSE,1,70,2019
1667,The Search, NF,10-08-2019,2OKo7g3KfmCt3kyLvUAL0g,0.789,0.786,2,-4.788,1,0.297,0.596,0,0.0997,0.39,119.957,248040,4,FALSE,1,78,2019
1668,MEGATRON, Nicki Minaj,10-08-2019,1ZDmxwg7Lywlx68b7SsJjj,0.893,0.641,1,-3.051,1,0.272,0.128,8.06E-05,0.086,0.771,94.017,190747,4,TRUE,1,68,2019
1669,All Day Long, Chance The Rapper Featuring John Legend,10-08-2019,1g3ErLqysBJ5EIGdYYMWFZ,0.767,0.884,2,-3.674,1,0.161,0.028,0,0.103,0.717,123.01,208238,4,FALSE,1,54,2019
1670,Do You Remember, Chance The Rapper Featuring Death Cab For Cutie,10-08-2019,67xBtV07CC73eFw7z5oCvU,0.606,0.655,6,-6.328,1,0.402,0.139,0,0.103,0.696,159.824,236686,4,FALSE,1,55,2019
1671,Calma, Pedro Capo X Farruko,10-08-2019,6kg2GL3RWG2ptq17sCf6Oo,0.515,0.877,7,-4.5,1,0.0584,0.335,1.11E-05,0.278,0.941,160.34,281707,4,FALSE,1,30,2019
1672,Cool, Jonas Brothers,10-08-2019,7yfi8B8opXjnRh4VZnOkz9,0.683,0.598,0,-5.487,1,0.0423,0.00873,0,0.156,0.62,78.969,167107,4,FALSE,1,66,2019
1673,Nightmare, Halsey,10-08-2019,340UVheS8z3ncW9TTUhAbc,0.611,0.622,9,-5.075,0,0.0734,0.0188,0,0.359,0.538,146.11,231999,4,TRUE,1,72,2019
1674,Rumor, Lee Brice,03-08-2019,56eGOeSsqdg3FLxdo83TwV,0.655,0.56,9,-6.857,1,0.0486,0.749,0,0.115,0.599,140.975,198440,4,FALSE,1,74,2017
1675,Act Up, City Girls,03-08-2019,3A2yGHWIzmGEIolwonU69h,0.938,0.638,8,-4.713,1,0.189,0.0167,0,0.111,0.313,97.075,158332,4,TRUE,1,71,2018
1676,GIRL, Maren Morris,03-08-2019,0pGXe7umwkcCm01Ipoxp0U,0.44,0.793,6,-3.95,1,0.0501,0.0677,0,0.0788,0.447,143.603,250653,4,FALSE,1,63,2019
1677,Con Calma, Daddy Yankee & Katy Perry Featuring Snow,03-08-2019,5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,193227,4,FALSE,1,80,2019
1678,Middle Child, J. Cole,03-08-2019,2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,4,TRUE,1,82,2019
1679,Brown Skin Girl," Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",03-08-2019,0B3FovCVaGKS5w1FTidEUP,0.603,0.602,6,-7.083,1,0.23,0.049,0,0.279,0.595,119.703,248472,5,FALSE,1,66,2019
1680,Under The Sun," Dreamville Featuring J. Cole, Lute & DaBaby",03-08-2019,6MF4tRr5lU8qok8IKaFOBE,0.691,0.64,0,-6.441,1,0.369,0.511,0,0.409,0.163,138.672,202040,4,TRUE,1,75,2019
1681,Pure Water, Mustard & Migos,27-07-2019,3j84U36KvLeXNDPv4t5pI8,0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015,192471,4,TRUE,1,78,2019
1682,Remember The Name, Ed Sheeran Featuring Eminem & 50 Cent,27-07-2019,0AtP8EkGPn6SwxKDaUuXec,0.852,0.666,11,-6.923,0,0.184,0.135,0,0.798,0.726,91.046,207760,4,TRUE,1,69,2019
1683,Walk Me Home, P!nk,27-07-2019,7DHApOHsIFo7EyfieArYGE,0.652,0.453,1,-6.119,1,0.0445,0.0507,0,0.179,0.432,88.039,177391,3,FALSE,1,69,2019
1684,Look What God Gave Her, Thomas Rhett,27-07-2019,2KqJC0koTBUyDlsMt5ok1V,0.739,0.85,2,-3.966,1,0.0308,0.0272,0,0.181,0.883,113,168960,4,FALSE,1,71,2019
1685,BLOW, Ed Sheeran With Chris Stapleton & Bruno Mars,27-07-2019,7hvO2qCwJVZxiyoA7c9i5d,0.631,0.796,1,-5.35,1,0.0401,0.000245,0.0108,0.38,0.596,92.47,209120,4,FALSE,1,62,2019
1686,Like A Rodeo, Kane Brown,27-07-2019,7z3dPHwGxeK4fD6fYFDwiS,0.67,0.661,3,-6.798,0,0.0466,0.704,0,0.217,0.425,119.985,201730,4,FALSE,1,64,2019
1687,Spirit, Beyonce,27-07-2019,38SueFAjT6jtFneyoQamYi,0.443,0.406,5,-9.064,1,0.0391,0.00903,0,0.0979,0.0558,80.896,273120,4,FALSE,1,58,2019
1688,Best Part Of Me, Ed Sheeran Featuring YEBBA,27-07-2019,5ug4vqGZ3eisGhY1IsziNX,0.565,0.242,2,-8.367,1,0.0318,0.762,9.30E-06,0.285,0.237,81.657,243267,4,FALSE,1,69,2019
1689,Wake Up, Travis Scott,27-07-2019,20MuVazoNMv6xjKPnRFOxG,0.741,0.645,11,-5.116,0,0.0963,0.192,0,0.163,0.488,149.07,231964,4,TRUE,1,72,2018
1690,Eastside," benny blanco, Halsey & Khalid",20-07-2019,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,4,FALSE,1,79,2018
1691,Look Back At It, A Boogie Wit da Hoodie,20-07-2019,3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,179449,4,TRUE,1,76,2018
1692,Down Bad," Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",20-07-2019,36J0iaPDGbYGsHvYpaYs3k,0.761,0.586,0,-5.368,1,0.359,0.0392,0,0.0558,0.719,149.804,169147,4,TRUE,1,70,2019
1693,Good As You, Kane Brown,20-07-2019,19kUPdKTp85q9RZNwaXM15,0.626,0.516,8,-6.05,1,0.0388,0.4,0,0.142,0.769,153.653,192053,4,FALSE,1,69,2019
1694,Costa Rica," Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",20-07-2019,5WnfnSpuNEGXyEt78PBA6d,0.642,0.647,7,-6.312,0,0.428,0.517,0,0.0649,0.664,120.749,217867,4,TRUE,1,71,2019
1695,Out The Mud, Lil Baby Featuring Future,20-07-2019,2wZjsbwmWfNVslgV5afl1L,0.746,0.497,1,-5.785,1,0.149,0.00944,8.60E-05,0.101,0.25,160.051,157816,4,TRUE,1,62,2019
1696,Girls Need Love, Summer Walker X Drake,20-07-2019,644rGY6maSElnKVsAg1gJj,0.645,0.418,6,-10.065,0,0.29,0.558,0.0003,0.562,0.123,96.963,140760,4,TRUE,1,76,2018
1697,Mother's Daughter, Miley Cyrus,20-07-2019,2WyRfGeHo97VC5mP1BBSzr,0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,219080,4,TRUE,1,71,2019
1698,Ocean Eyes, Billie Eilish,20-07-2019,7hDVYcQq6MxkdJGweuCtl9,0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,200379,4,FALSE,1,81,2017
1699,Don't Check On Me, Chris Brown Featuring Justin Bieber & Ink,13-07-2019,7ILEWkpfdK6AjH2D7jppWk,0.661,0.395,7,-5.242,1,0.0333,0.873,0,0.112,0.679,82.028,204880,4,FALSE,1,66,2019
1700,Homicide, Logic Featuring Eminem,13-07-2019,7M2tXmeS15NAzEn7ABFeBg,0.694,0.759,10,-5.667,0,0.398,0.137,0,0.167,0.77,140.055,245387,4,TRUE,1,76,2019
1701,Please Me, Cardi B & Bruno Mars,13-07-2019,0PG9fbaaHFHfre2gUVo7AN,0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,200890,4,TRUE,1,78,2019
1702,When I Grow Up, NF,13-07-2019,5rLyYxZNzca00ENADO9m54,0.817,0.814,2,-3.985,1,0.185,0.32,0,0.152,0.247,109.994,196800,4,FALSE,1,74,2019
1703,Eyes On You, Chase Rice,13-07-2019,5AnSllIrgGsCZzZJkVnApx,0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,182493,4,FALSE,1,72,2017
1704,Bacc At It Again," Yella Beezy, Gucci Mane & Quavo",13-07-2019,43eFpXbwWuBcXFkCmvaK76,0.95,0.624,8,-5.725,0,0.168,0.00126,1.23E-06,0.0715,0.86,135.985,228186,4,TRUE,1,53,2019
1705,"Break Up With Your Girlfriend, I'm Bored", Ariana Grande,06-07-2019,4kV4N9D1iKVxx1KLvtTpjS,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,190440,4,TRUE,1,79,2019
1706,Here With Me, Marshmello Featuring CHVRCHES,06-07-2019,5icOoE6VgqFKohjWWNp0Ac,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,156347,4,FALSE,1,76,2019
1707,Love Someone, Brett Eldredge,06-07-2019,43CFDpciGFDm226POTLEXU,0.423,0.813,9,-5.011,1,0.0507,0.218,1.62E-06,0.0732,0.421,173.995,211720,4,FALSE,1,60,2017
1708,Big Ole Freak, Megan Thee Stallion,06-07-2019,3YEbLhXRDPTtctnb3ddg8g,0.799,0.699,2,-7.694,1,0.204,0.00867,0,0.132,0.627,142.979,214851,4,TRUE,1,65,2018
1709,You Stay," DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",06-07-2019,4U6ubKsTd8RBDP5tPPhh7I,0.479,0.63,7,-5.628,0,0.133,0.0314,0,0.073,0.227,117.988,275276,5,TRUE,1,58,2019
1710,Baila Baila Baila, Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,06-07-2019,7mWFF4gPADjTQjC97CgFVt,0.785,0.572,2,-7.504,1,0.123,0.0598,0,0.218,0.49,100.016,235284,4,FALSE,1,77,2019
1711,Omerta, Drake,06-07-2019,3kCwyvhvVTyehIzYN2I0nF,0.646,0.899,6,-2.232,1,0.298,0.0337,0,0.232,0.685,164.119,219507,4,TRUE,1,59,2019
1712,Summer Days, Martin Garrix Featuring Macklemore & Patrick Stump,06-07-2019,7Feaw9WAEREY0DUOSXJLOM,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23E-05,0.14,0.316,113.778,163805,4,TRUE,1,77,2019
